Country	Product Name	FNSKU	Merchant SKU	ASIN	Condition	Supplier	Supplier part no.	Currency code	Price	Sales last 30 days	Units Sold Last 30 Days	Total Units	Inbound	Available	FC transfer	FC Processing	Customer Order	Unfulfillable	Working	Shipped	Receiving	Fulfilled by	Total Days of Supply (including units from open shipments)	Days of Supply at Amazon Fulfillment Network	Alert	Recommended replenishment qty	Recommended ship date	Recommended action	Unit storage size
US	Nevlers 6 Pack Pure Himalayan Salt Candle Holders |2.5lbs Natural Himalayan Salt Tea Candle Holder | Hand Crafted Himalayan Tealight Holders | Salt Candle Holder for Decor | Salt Lamp Tealight Holders	B07WPX21YJ	ND6PTLGHT30	B07WPX21YJ	New	unassigned		USD	44.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.2894 ft3
US	Nevlers 6 PCS Himalayan Salt Shot Glasses for Tequila, All Natural Himalayan Salt Tequila Shot Glasses - Handcrafted Square Shot Glass -3" H Himalayan Shot Glasses | Himalayan Salt Glasses Tequila	B085LQN343	ND6PSQR-SHTGLS44	B085LQN343	New	unassigned		USD	32.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.0911 ft3
US	Nevlers 6 Pack Himalayan Salt Lick on Ropes for Animals - All Natural Pure Mineral Block - Himalayan Salt Block for Horses, Deer, Cows, and Other Livestock - 4.5-6 lbs Each	B098BQR556	ND6PSLTLCK50	B098BQR556	New	unassigned		USD	99.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	0	none	No action required	0.6465 ft3
US	Nevlers 6 PCS Himalayan Salt Shot Glasses for Tequila, All Natural Himalayan Salt Tequila Shot Glasses - Handcrafted Shot Glass - 3"H Himalayan Shot Glasses | Himalayan Salt Glasses Tequila	B07X3P35KP	ND6PSHTGLS29	B07X3P35KP	New	unassigned		USD	19.98	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	0	none	No action required	0.0732 ft3
US	Nevlers 6 Pack Pure Himalayan Salt Candle Holders | Heart Shaped Himalayan Salt Tea Candle Holder | Hand Crafted Himalayan Tealight Holders | Salt Candle Holder for Decor | Salt Lamp Tealight Holders	B085SWX7KS	ND6PHRT-TEA42	B085SWX7KS	New	unassigned		USD	48.99	774.73	27	5	4	0	0	0	1	1	0	0	4	Amazon	12	10		17	02/19/2026	Create shipping plan	0.3097 ft3
US	Nevlers 4 PCS Himalayan Salt Shot Glasses for Tequila - Handcrafted 3" H All Natural Salt Glasses	B07XG2MZH8	ND4PSHTGLS28	B07XG2MZH8	New	unassigned		USD	25.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon			out_of_stock	0	none	No action required	0.0453 ft3
US	Nevlers 4 Pack Pure Himalayan Salt Candle Holders | Heart Shaped Himalayan Salt Tea Candle Holder | Hand Crafted Himalayan Tealight Holders | Salt Candle Holder for Decor | Salt Lamp Tealight Holders	B085Z6TFXK	ND4PHRT-TEA41	B085Z6TFXK	New	unassigned		USD	29.99	0.0	0	0	0	0	0	0	0	1	0	0	0	Amazon	0	0	out_of_stock	18	02/12/2026	Create shipping plan	0.1556 ft3
US	Nevlers 3 Pack All Natural Pure Himalayan Salt Licks for Animals - 4.5-6.5 lbs Each - Ropes Included - Great for Horses, Cows, Deer, Camel and Other Livestock	B08GL3NP8T	ND3PSLTLICK48	B08GL3NP8T	New	unassigned		USD	49.99	119.96	4	36	28	7	1	0	0	0	21	0	7	Amazon	203	102		0	none	No action required	0.276 ft3
US	Nevlers 3 Pack All Natural Pure Himalayan Salt Licks for Animals - 4.5-6.5 lbs Each - Ropes Included - Great for Horses, Cows, Deer, Camel and Other Livestock	X00375T89P	ND3PSLTLCK48-1	B08GL3NP8T	New	unassigned		USD	49.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	7	02/12/2026	Create shipping plan	0.276 ft3
US	Nevlers 2 Pk Himalayan Salt Night Light Plug in | 5.5" Wavy Shape Pink Himalayan Salt Lamps | Handcarved Real Himalayan Salt Lamp from Pakistan | UL Listed 360° Rotatable Plug in Night Light	B0883VHKFH	ND2PWVYNIGHTLT45	B0883VHKFH	New	unassigned		USD	24.99	0.0	0	0	0	0	0	0	0	0	0	0	0	Amazon	0	0	out_of_stock	0	none	No action required	0.0593 ft3
